,Cycle,SensorMeasure2,SensorMeasure3,SensorMeasure4,SensorMeasure7,SensorMeasure8,SensorMeasure11,SensorMeasure12,SensorMeasure13,SensorMeasure15,SensorMeasure17,SensorMeasure20,SensorMeasure21,LR
0,1,642.36,1583.23,1396.84,553.97,2387.96,47.3,522.31,2388.01,8.4246,391,39.11,23.3537,0.003861003861003861
1,2,642.5,1584.69,1396.89,554.55,2388.0,47.23,522.42,2388.03,8.4403,392,38.99,23.4491,0.007722007722007722
2,3,642.18,1582.35,1405.61,554.43,2388.03,47.22,522.03,2388.0,8.3901,391,38.85,23.3669,0.011583011583011582
3,4,642.92,1585.61,1392.27,555.21,2388.0,47.24,522.49,2388.08,8.3878,392,38.96,23.2951,0.015444015444015444
4,5,641.68,1588.63,1397.65,554.74,2388.04,47.15,522.58,2388.03,8.3869,392,39.14,23.4583,0.019305019305019305
5,6,642.24,1584.09,1400.01,554.75,2388.0,47.07,522.42,2388.02,8.4152,393,38.92,23.4281,0.023166023166023165
6,7,642.58,1585.61,1401.09,554.58,2388.04,47.38,522.46,2388.02,8.3842,391,38.84,23.4087,0.02702702702702703
7,8,642.32,1588.32,1397.08,554.85,2388.06,47.31,522.1,2387.97,8.419,391,39.05,23.459,0.03088803088803089
8,9,641.64,1587.81,1406.51,554.13,2388.04,47.31,521.83,2388.01,8.4091,392,38.99,23.4693,0.03474903474903475
9,10,642.42,1587.39,1402.25,554.78,2387.99,47.35,521.96,2387.99,8.3987,391,38.94,23.4781,0.03861003861003861
10,11,642.28,1582.38,1391.88,554.3,2388.01,47.35,522.23,2388.03,8.4235,392,38.97,23.4127,0.04247104247104247
11,12,641.88,1583.24,1397.74,554.35,2388.04,47.26,522.13,2387.98,8.359,392,39.09,23.366,0.04633204633204633
12,13,641.92,1589.68,1395.55,554.52,2387.98,47.14,522.06,2388.02,8.3821,391,39.04,23.4273,0.05019305019305019
13,14,642.66,1587.29,1400.9,555.17,2388.02,47.28,522.54,2387.97,8.4277,390,39.03,23.386,0.05405405405405406
14,15,642.34,1580.8,1396.5,553.96,2387.95,47.29,522.72,2388.0,8.4007,390,39.02,23.4556,0.05791505791505792
15,16,641.68,1587.32,1395.49,553.82,2388.02,47.14,522.28,2387.98,8.4197,391,38.96,23.3717,0.06177606177606178
16,17,641.9,1591.12,1395.08,555.06,2388.0,47.0,521.98,2387.93,8.3761,393,39.04,23.3718,0.06563706563706563
17,18,642.39,1578.96,1402.24,554.21,2387.97,47.2,522.2,2388.01,8.4205,392,39.12,23.5448,0.0694980694980695
18,19,642.3,1584.04,1398.85,554.59,2387.98,47.16,522.04,2387.98,8.3727,391,39.01,23.408,0.07335907335907337
19,20,642.26,1579.65,1395.59,554.49,2387.97,47.16,523.02,2388.03,8.4252,391,38.87,23.4903,0.07722007722007722
20,21,642.62,1590.18,1398.01,554.0,2387.99,47.26,522.77,2388.01,8.422,391,38.92,23.5088,0.08108108108108109
21,22,642.13,1586.21,1397.07,554.51,2387.98,47.32,522.68,2388.03,8.4134,392,39.02,23.3533,0.08494208494208494
22,23,642.05,1586.03,1394.01,554.36,2387.99,47.17,521.82,2388.03,8.3946,391,39.06,23.4476,0.0888030888030888
23,24,642.02,1585.13,1394.81,554.39,2387.96,47.41,522.59,2388.02,8.4162,391,39.07,23.4648,0.09266409266409266
